Date Added,category,sellerlink,brand_name,product_count,positive_rating_percentage,rating_count,country,Count of seller brands,Hero Product 1 #ratings,Hero Product 2 #ratings,Max % of negative seller ratings - last 30 days,Max % of negative seller ratings - last 90 days,Max % of negative seller ratings - last 12 months,businessaddress,sellerstorefront-url,Sample Brand URL,email_id,phone_number
15-Nov-20,Garden,Seller 16,zhangjiawei,349,NULL,NULL,Canada,1,0,0,0,0,0,beilinqutaiyilumanchengguoji3haolou4lou10602shixianshishanxisheng710000CN,Seller 16-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=zhangjiawei,NULL,NULL
15-Nov-20,Garden,Seller 17,Shishij1,60000,100,2,Canada,16,12,7,0,0,0,shuguangshequbaihuaxiang12haoyishanzhenguanyunxian222200CN,Seller 17-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_sl_s_ap_web_77028031?ie=UTF8&node=77028031&field-brandtextbin=Shishij1,NULL,NULL
15-Nov-20,Garden,Seller 18,VFGHH,20000,NULL,NULL,Canada,9,0,0,0,0,0,jutangxialu33haohaixiahuayuannaAhao-113shinanquqingdaoshi266000CN,Seller 18-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=VFGHH,NULL,NULL
15-Nov-20,Garden,Seller 19,WODT,1000,67,9,Canada,1,12,4,67,50,33,yinronghuayuan22haolou1danyuan7ceng28haozhongyuanqutongbaibeilu101haozhengzhoushihenansheng450000CN,Seller 19-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=WODT,NULL,NULL
15-Nov-20,Garden,Seller 20,TFA Dostmann Store,NULL,76,3721,Germany,0,0,0,18,20,20,Jï¿½sser Weg10Petershagen32469DE,Seller 20-storefrontlink,https://www.amazon.de/-/en/stores/TFA+Dostmann+GmbH+%26+Co+KG/page/EAF5F066-D2DC-42AB-8D1D-9E5898BCA26D?ref_=ast_bln,abcmarkt@web.de,NULL
15-Nov-20,Garden,Seller 21,Mountfield Outdoor Spares,123,NULL,NULL,Other,14,837,787,0,0,0,WEXFORDGOREY46 MAIN STY25T2N4IE,Seller 21-storefrontlink,https://www.amazon.de/-/en/Mountfield-Outdoor-Spares/b/ref=bl_dp_s_web_9440109031?ie=UTF8&node=9440109031&field-lbr_brands_browse-bin=Mountfield+Outdoor+Spares,NULL,NULL
15-Nov-20,Garden,Seller 22,tesa Store,NULL,92,181,Other,0,0,0,0,7,6,"BAUGURU, GURU 2016 GmbHWarenannahme Vogl Baumarkt GmbHRosental an der KainachSteiermark8582AT",Seller 22-storefrontlink,https://www.amazon.de/-/en/stores/tesa/page/12E699E9-FA20-4BC9-A12B-8A9CDE0C446C?ref_=ast_bln,Firmenwortlaut:,NULL
15-Nov-20,Garden,Seller 23,Seville Classics Store,40000,100,10,United States,16,10538,8293,0,0,0,90 BROAD ST 2ND FLOORNEW YORKNY10004-2205US,Seller 23-storefrontlink,https://www.amazon.de/-/en/stores/Seville+Classics/page/E8D49E5C-1784-4FF1-A92A-C8B52AF7F532?ref_=ast_bln,NULL,NULL
15-Nov-20,Garden,Seller 24,tesa Store,100000,88,3134,Germany,15,30139,11182,15,12,10,Sudhoferweg 99-107BeckumNRW59269DE,Seller 24-storefrontlink,https://www.amazon.de/-/en/stores/tesa/page/12E699E9-FA20-4BC9-A12B-8A9CDE0C446C?ref_=ast_bln,bib.beckum@blumenbecker.com,02521/84060
15-Nov-20,Garden,Seller 25,Neudorff,3000,97,610,Germany,15,3286,3079,3,1,2,Miranderstr 21Korntal-Mï¿½nchingen70825DE,Seller 25-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Neudorff,NULL,NULL
15-Nov-20,Garden,Seller 26,Nexa Lotte,2000,98,1488,Germany,15,2128,1759,1,1,1,Wissmannstrasse58Delmenhorst27755DE,Seller 26-storefrontlink,https://www.amazon.de/-/en/Nexa-Lotte/b/ref=bl_dp_s_web_18437295031?ie=UTF8&node=18437295031&field-lbr_brands_browse-bin=Nexa+Lotte,amazon@bonishop.com,4221
15-Nov-20,Garden,Seller 27,Ray-Ban,60000,79,119,United States,16,37716,13566,29,22,18,3744 E Calle BarcelonaTUCSONAZ85716-5116US,Seller 27-storefrontlink,https://www.amazon.de/-/en/Ray-Ban/b/ref=bl_dp_s_web_1683475031?ie=UTF8&node=1683475031&field-lbr_brands_browse-bin=Ray-Ban,NULL,NULL
15-Nov-20,Garden,Seller 28,Wolfcraft Store,NULL,86,21,Other,0,0,0,0,0,10,"Calle Poeta Manuel Benï¿½tez Carrasco 32, 3 ASEVILLAESPAï¿½A41013ES",Seller 28-storefrontlink,https://www.amazon.de/-/en/stores/Wolfcraft+GmbH/page/3F25C79D-7429-4C03-8120-1F58A7EBB717?ref_=ast_bln,NULL,NULL
15-Nov-20,Garden,Seller 29,CLIUS,1000,76,17,Canada,15,164,21,0,0,24,bantianjiedao wuhedadao yabaolu1hao xingheyinhuguhuayuan3dongBzuo4803longgangqushenzhenshi518000CN,Seller 29-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=diy&field-keywords=CLIUS,NULL,NULL
15-Nov-20,Garden,Seller 30,vidaXL,NULL,75,596,Canada,0,0,0,27,30,23,Longgangqu Bantianjiedao NankengshequWuhedadao(nan) 36hao Xingjingyuan A302ShenzhenGuangdong518129CN,Seller 30-storefrontlink,https://www.amazon.de/-/en/vidaXL/b/ref=bl_dp_s_web_20038948031?ie=UTF8&node=20038948031&field-lbr_brands_browse-bin=vidaXL,NULL,NULL
15-Nov-20,Garden,Seller 31,Deine Gartenwelt Store,1000,99,1739,Germany,6,764,599,0,1,1,Auf der Insel 20Pulheim50259DE,Seller 31-storefrontlink,https://www.amazon.de/-/en/stores/DeineGartenwelt/page/29C6D599-802D-4BC7-9B9D-1B2120839034?ref_=ast_bln,info@deinegartenwelt.de,22342509631
15-Nov-20,Garden,Seller 32,Umbra Store,80000,82,38,United States,16,10907,8836,0,9,18,13300 ATLANTIC BLVD APT 416JACKSONVILLEFL32225-6131US,Seller 32-storefrontlink,https://www.amazon.de/-/en/stores/Umbra/page/43991FD4-1C3C-4688-A9A5-2626B1F05564?ref_=ast_bln,NULL,NULL
15-Nov-20,Garden,Seller 33,Room Copenhagen Store,NULL,87,294,United States,0,0,0,13,10,11,13700 Sutton Park Dr Napt 712JacksonvilleFLORIDA32224-4202US,Seller 33-storefrontlink,https://www.amazon.de/-/en/stores/Room+Copenhagen+Brand+Store/page/B2FCA10C-60B8-48CE-9BCE-FAD926DC666A?ref_=ast_bln,NULL,NULL
15-Nov-20,Garden,Seller 34,"Tightpac America, Inc.",100000,85,75,United States,16,5262,3632,0,0,13,708 3RD AVE FL 6THNew YorkNY10017-4201US,Seller 34-storefrontlink,https://www.amazon.de/-/en/Tightpac-America-Inc/b/ref=bl_dp_s_web_5477387031?ie=UTF8&node=5477387031&field-lbr_brands_browse-bin=Tightpac+America%2C+Inc.,Vor,NULL
15-Nov-20,Garden,Seller 35,VLUV,42,90,10,Germany,2,213,212,0,0,0,Kï¿½lner Strasse45Engelskirchen51766DE,Seller 35-storefrontlink,https://www.amazon.de/-/en/VLUV/b/ref=bl_dp_s_web_17707474031?ie=UTF8&node=17707474031&field-lbr_brands_browse-bin=VLUV,NULL,NULL
15-Nov-20,Garden,Seller 36,Oregon,10000,86,891,Other,15,7145,2111,18,11,12,Unit 6Hebron Industrial EstateKilkennyKilkenny0000IE,Seller 36-storefrontlink,https://www.amazon.de/-/en/Oregon/b/ref=bl_dp_s_web_1691497031?ie=UTF8&node=1691497031&field-lbr_brands_browse-bin=Oregon,NULL,NULL
15-Nov-20,Garden,Seller 37,Vileda Store,50000,91,5150,Germany,15,40683,18910,7,8,8,itenga GmbHAm Umspannwerk 2Illingen66557DE,Seller 37-storefrontlink,https://www.amazon.de/-/en/stores/Vileda+GmbH+%28Parent%29/page/896A5CC5-618B-4EF0-8CAB-386A728A418E?ref_=ast_bln,info@itenga.de,NULL
15-Nov-20,Garden,Seller 38,TFA Dostmann Store,10000,93,120,Germany,16,40684,13311,18,11,4,Johannes Zierleyn KGAm Schweinemarkt 3Nordhorn48529DE,Seller 38-storefrontlink,https://www.amazon.de/-/en/stores/TFA+Dostmann+GmbH+%26+Co+KG/page/EAF5F066-D2DC-42AB-8D1D-9E5898BCA26D?ref_=ast_bln,nils.holm@zierleyn.de,49
15-Nov-20,Garden,Seller 39,N\A,8000,NULL,NULL,Canada,2,0,0,0,0,0,shaxizhenyunhancunqingyunlu31hao4louzhi2zhongshanshiguangdongsheng528471CN,Seller 39-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=N%5CA,NULL,NULL
15-Nov-20,Garden,Seller 40,Q&Y-Klappstuhl,3000,100,1,Canada,16,49,0,0,0,0,sheng li lu170 haofen yang shishan xi sheng032200CN,Seller 40-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=Q%26Y-Klappstuhl,NULL,NULL
15-Nov-20,Garden,Seller 41,ETF,302,99,520,Germany,8,370,141,0,1,1,Im Schï¿½nblick 16MorsbachNRW51597DE,Seller 41-storefrontlink,https://www.amazon.de/-/en/ETF/b/ref=bl_dp_s_web_10136917031?ie=UTF8&node=10136917031&field-lbr_brands_browse-bin=ETF,info@kabellicht.de,22939011211
15-Nov-20,Garden,Seller 42,NMBC,2000,NULL,NULL,Canada,1,1,1,0,0,0,sichuanshengchengdushiwenjiangquliuchengdadaoxiduan218haochengdusichuan610051CN,Seller 42-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=NMBC,NULL,NULL
15-Nov-20,Garden,Seller 43,Kafuty,6000,87,62,Canada,3,32,5,0,0,8,Long gang qu long gang jie dao nan lian she qulong gang da dao 4012hao xiang qian da sha 801Shen zhen shiGuang dong sheng518116CN,Seller 43-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=ce-de&field-keywords=Kafuty,NULL,NULL
15-Nov-20,Garden,Seller 44,MOTOULAX,2000,44,9,Canada,9,1,1,0,0,56,jingjijishukaifaqufengchengsiluyahesijicheng01-155haomenmianxianshishanxisheng710000CN,Seller 44-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=MOTOULAX,NULL,NULL
15-Nov-20,Garden,Seller 45,ShangSky,569,95,111,Canada,4,227,95,7,5,5,jingjijishukaifaqufengyuanxiaoqumenmianfang108haoxianshishanxisheng710018CN,Seller 45-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=ShangSky,NULL,NULL
15-Nov-20,Garden,Seller 46,YJZ,964,NULL,NULL,Canada,1,0,0,0,0,0,jingyangqulongquanshannanluerduan29haodeyangshisichuansheng618000CN,Seller 46-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=YJZ,NULL,NULL
15-Nov-20,Garden,Seller 47,Lanmei,627,100,6,Canada,2,4,2,0,0,0,RenMinLuZhongDuanXiCe68HaoKaiFengShiTongXuXianHeNanSheng475400CN,Seller 47-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Lanmei,NULL,NULL
15-Nov-20,Garden,Seller 48,Nrpfell,20000,78,40,Canada,1,10,8,10,17,18,xinglongxiangxinglongcunsanzuxiangfuqukaifengshi475199CN,Seller 48-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=diy&field-keywords=Nrpfell,NULL,NULL
15-Nov-20,Garden,Seller 49,Ruchen,20000,0,1,Canada,4,0,0,0,0,100,kaihuaxianhuabuzhenkaiyuanlu(yulongjiatianxia)1chuangy201quzhoushizhejiangsheng324399CN,Seller 49-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=Ruchen,NULL,NULL
15-Nov-20,Garden,Seller 50,Plane,20000,63,8,Canada,15,5,1,0,0,25,xiaodianquxuxinanjie158haotaiyuanshanxi030000CN,Seller 50-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Plane,NULL,NULL
15-Nov-20,Garden,Seller 51,Yaootely,6000,100,5,Canada,11,1,0,0,0,0,yuehezhendonghuawujincheng89-11tangshanshikaipingquhebeisheng063021CN,Seller 51-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=Yaootely,NULL,NULL
15-Nov-20,Garden,Seller 52,Markenlos,1000,95,221,Germany,15,2044,787,0,0,3,Berliner Str 155aWuppertal42277DE,Seller 52-storefrontlink,https://www.amazon.de/-/en/Markenlos/b/ref=bl_dp_s_web_7079845031?ie=UTF8&node=7079845031&field-lbr_brands_browse-bin=Markenlos,Impressum,20260937540
15-Nov-20,Garden,Seller 53,ZWWZ,6000,NULL,NULL,Canada,1,1,0,0,0,0,xinhualu82haotielingshikaiyuanshiliaoningsheng112000CN,Seller 53-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=diy&field-keywords=ZWWZ,NULL,NULL
15-Nov-20,Garden,Seller 54,TFA Dostmann Store,8000,95,4189,Germany,16,40684,10339,6,5,4,Neubrï¿½ckenstr 7cBï¿½renNordrhein-Westfalen33142DE,Seller 54-storefrontlink,https://www.amazon.de/-/en/stores/TFA+Dostmann+GmbH+%26+Co+KG/page/EAF5F066-D2DC-42AB-8D1D-9E5898BCA26D?ref_=ast_bln,info@kaleidoshop.de,02951/9849790
15-Nov-20,Garden,Seller 55,SW-Stahl,5000,98,286,Germany,15,698,268,0,2,1,Lindgesfeld 8hLindgesfeld 8HSolingenNRW42653DE,Seller 55-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=automotive&field-keywords=SW-Stahl,,0212|5990639
15-Nov-20,Garden,Seller 56,Thermoplast,60,87,15,Other,1,64,21,0,0,0,KAMAI PL Sp z o oWola Batorska 461Zabierzow BochenskiPoland32-007PL,Seller 56-storefrontlink,https://www.amazon.de/-/en/Thermoplast/b/ref=bl_dp_s_web_18789757031?ie=UTF8&node=18789757031&field-lbr_brands_browse-bin=Thermoplast,NULL,NULL
15-Nov-20,Garden,Seller 57,Petromax Store,4000,98,962,Germany,15,1424,1231,1,3,2,Georg-Mehrtens-Str  5DresdenSachsen01237DE,Seller 57-storefrontlink,https://www.amazon.de/-/en/stores/Petromax/page/596BEC72-CCEB-44EC-9C41-DAD254B2A788?ref_=ast_bln,Impressum,NULL
15-Nov-20,Garden,Seller 58,TermaTech,21,100,1,Other,14,242,101,0,0,0,,Seller 58-storefrontlink,https://www.amazon.de/-/en/TermaTech/b/ref=bl_dp_s_web_18305738031?ie=UTF8&node=18305738031&field-lbr_brands_browse-bin=TermaTech,NULL,NULL
15-Nov-20,Garden,Seller 59,Kaminlicht,510,95,88,Germany,15,164,106,0,0,3,James-Franck-Str 23Berlin12489DE,Seller 59-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Kaminlicht,NULL,NULL
15-Nov-20,Garden,Seller 60,Petromax Store,806,90,146,Germany,15,3217,1561,0,3,9,Lecker Chaussee20Leck25917DE,Seller 60-storefrontlink,https://www.amazon.de/-/en/stores/Petromax/page/596BEC72-CCEB-44EC-9C41-DAD254B2A788?ref_=ast_bln,NULL,46628917345
15-Nov-20,Garden,Seller 61,Goldmann,2000,96,163,Germany,15,1561,820,5,2,3,Menanusstrasse 10aWerneck97440DE,Seller 61-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=Goldmann,kundenservice@kaminstore24.de,NULL
15-Nov-20,Garden,Seller 62,Crewell,516,28,50,Canada,15,503,358,92,80,68,dianzishumacheng sanceng 3988 haotaizhoushi luqiazhejiangsheng318050CN,Seller 62-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=diy&field-keywords=Crewell,NULL,NULL
15-Nov-20,Garden,Seller 63,Soytich,779,98,1023,Germany,4,1888,1262,0,2,2,Bockholtstr151Neuss41460DE,Seller 63-storefrontlink,https://www.amazon.de/-/en/Soytich/b/ref=bl_dp_s_web_18854816031?ie=UTF8&node=18854816031&field-lbr_brands_browse-bin=Soytich,Gesetzliche,2131
15-Nov-20,Garden,Seller 64,XLTWKK,10000,100,7,Canada,4,3,1,0,0,0,henanshengzhoukoushishangshuixianronghuichengerqic5dong1danyuan703shishangshuixianhenanshengzhoukoushi466000CN,Seller 64-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=sporting-de&field-keywords=XLTWKK,NULL,NULL
15-Nov-20,Garden,Seller 65,Wilai,139,100,16,Germany,15,271,222,0,0,0,Mï¿½nchner Str 41Rain86641DE,Seller 65-storefrontlink,https://www.amazon.de/-/en/Wilai/b/ref=bl_dp_s_web_1687517031?ie=UTF8&node=1687517031&field-lbr_brands_browse-bin=Wilai,info@kanistervertrieb.de,NULL
15-Nov-20,Garden,Seller 66,(blank),579,99,1138,Other,15,8176,5499,0,0,0,7 Crawley Wood CloseCamberleySurreyGU15 2BXGB,Seller 66-storefrontlink,(blank),NULL,NULL
15-Nov-20,Garden,Seller 67,Slimbridge,144,89,130,Other,8,293,288,0,0,10,Units 12-16Heads of the Valley Industrial EstateHeads of the Valley Industrial EstateRhymneyNP22 5RLGB,Seller 67-storefrontlink,https://www.amazon.de/-/en/Slimbridge/b/ref=bl_dp_s_web_8831455031?ie=UTF8&node=8831455031&field-lbr_brands_browse-bin=Slimbridge,NULL,NULL
15-Nov-20,Garden,Seller 68,Funny Fashion,450,100,35,Other,16,57,43,0,0,0,"via Salvo D'Acquisto, 16Orta NovaFG71045IT",Seller 68-storefrontlink,https://www.amazon.de/-/en/Funny-Fashion/b/ref=bl_dp_s_web_7036878031?ie=UTF8&node=7036878031&field-lbr_brands_browse-bin=Funny+Fashion,NULL,NULL
15-Nov-20,Garden,Seller 69,Sioneit,10000,100,1,Canada,16,2,2,0,0,0,wuyixianhushanjiedaotashanxiaoqu31zhuang2hao(zizhushenbao)jinhuashizhejiangsheng321200CN,Seller 69-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Sioneit,NULL,NULL
15-Nov-20,Garden,Seller 70,Rayher,4000,93,301,Germany,15,1178,646,4,4,5,Hohenstaufenring66-70Kï¿½ln50674DE,Seller 70-storefrontlink,https://www.amazon.de/-/en/Rayher/b/ref=bl_dp_s_web_2851815031?ie=UTF8&node=2851815031&field-lbr_brands_browse-bin=Rayher,koeln@partydiscount.de,NULL
15-Nov-20,Garden,Seller 71,Widmann,3000,90,155,Germany,16,752,727,0,0,8,Osterbusch 33Ense59469DE,Seller 71-storefrontlink,https://www.amazon.de/-/en/Widmann/b/ref=bl_dp_s_web_18791726031?ie=UTF8&node=18791726031&field-lbr_brands_browse-bin=Widmann,info@karnevalfaschingshop.de,NULL
15-Nov-20,Garden,Seller 72,Weber Store,2000,100,56,Germany,16,5169,2750,0,0,0,Kï¿½nigsberger Ring 11 B11 bHochheim Am Main65239DE,Seller 72-storefrontlink,https://www.amazon.de/-/en/stores/Weber/page/97CDA426-21A5-4BA8-9E0F-AFDA8004B64D?ref_=ast_bln,katerrot27@aol.com,1742483335
15-Nov-20,Garden,Seller 73,Tarfy,10000,100,1,Other,0,1,1,0,0,0,,Seller 73-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=Tarfy,NULL,NULL
15-Nov-20,Garden,Seller 74,Pluto Produkter,693,97,33,Other,16,79,58,0,0,3,,Seller 74-storefrontlink,https://www.amazon.de/-/en/Pluto-Produkter/b/ref=bl_dp_s_web_2401782031?ie=UTF8&node=2401782031&field-lbr_brands_browse-bin=Pluto+Produkter,kathrin@salzlampe.de,NULL
15-Nov-20,Garden,Seller 75,Katrine Store,10000,100,1,Canada,2,0,0,0,0,0,guanglingqutaizhoulu43haobzuo1f107shiyangzhoushijiangsusheng225002CN,Seller 75-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=Katrine+Store,NULL,NULL
15-Nov-20,Garden,Seller 76,Unbekannt,1000,94,416,Germany,15,3413,845,4,5,4,kaufen-schenken-spielenPosener Str 67WilhelmshavenNiedersachsen26388DE,Seller 76-storefrontlink,https://www.amazon.de/-/en/Unbekannt/b/ref=bl_dp_s_web_19533614031?ie=UTF8&node=19533614031&field-lbr_brands_browse-bin=Unbekannt,spielhobbylange@tonline.de,4421
15-Nov-20,Garden,Seller 77,Kayla_Lan,155,100,16,Canada,10,90,49,0,0,0,Tang Yin Xian Ren Gu ZhenRen Min Lu Dong Duan Lu NanAn YangHe Nan456160CN,Seller 77-storefrontlink,https://www.amazon.de/-/en/Kayla_Lan/b/ref=bl_dp_s_web_13868815031?ie=UTF8&node=13868815031&field-lbr_brands_browse-bin=Kayla_Lan,NULL,NULL
